City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Origin,Country,Population,Total_Parking_Area,Park_Ways,Park_Nodes,Park_Relations,Continent,Region 1,Region 2,Total_Contributors,Country_Population
San Diego,173.4,112.5,59.6,69.0,84.3,8.4,35.5,40.0,97.1,"San Diego, CA, United States",United States,3220118,11648037.506947696,3530,67,45,North America,Northern America,,1367882.0,331893745.0
Winnipeg,133.5,76.6,41.0,68.4,65.1,6.5,31.2,37.0,24.7,"Winnipeg, Canada",Canada,705244,8408651.89824361,3613,21,33,North America,Northern America,,238681.0,38246108.0
Kansas City,171.0,113.9,41.4,72.7,70.8,4.5,29.9,34.1,75.1,"Kansas City, MO, United States",United States,1636715,12977971.546090512,3621,21,119,North America,Northern America,,1367882.0,331893745.0
Detroit,139.4,125.7,26.0,62.4,73.3,1.3,44.6,59.8,66.0,"Detroit, MI, United States",United States,3506126,8720002.981690332,3687,19,64,North America,Northern America,,1367882.0,331893745.0
Milwaukee,170.4,147.6,32.6,65.2,71.6,5.7,32.5,33.5,61.0,"Milwaukee, WI, United States",United States,1365787,7052374.779445406,3782,6,31,North America,Northern America,,1367882.0,331893745.0
Phoenix,157.9,135.5,46.7,66.6,73.8,2.8,32.6,56.6,53.8,"Phoenix, AZ, United States",United States,4219697,15471247.667765236,3859,28,40,North America,Northern America,,1367882.0,331893745.0
New York,136.5,100.0,50.4,62.3,100.0,9.8,43.5,58.0,79.7,"New York, NY, United States",United States,18713220,11592025.98537706,3950,257,137,North America,Northern America,,1367882.0,331893745.0
Edinburgh,183.1,92.9,68.9,78.8,61.2,8.4,29.7,28.1,84.0,"Edinburgh, United Kingdom",United Kingdom,488050,3140372.624601446,4047,68,9,Europe,Northern Europe,,640418.0,67326569.0
Columbus,173.5,118.7,52.0,68.4,72.7,7.1,30.4,32.3,71.3,"Columbus, OH, United States",United States,1562009,13428262.67134468,4127,48,48,North America,Northern America,,1367882.0,331893745.0
Rome,112.4,54.6,46.6,60.0,65.3,16.6,41.5,66.0,93.7,"Rome, Italy",Italy,2872800,7338646.656157536,4172,299,279,Europe,Southern Europe,,605081.0,59109668.0
Albuquerque,172.2,148.1,28.1,62.8,69.4,3.8,29.2,34.8,67.1,"Albuquerque, NM, United States",United States,761195,11707737.892294131,4316,86,38,North America,Northern America,,1367882.0,331893745.0
Hamilton,141.8,88.3,44.7,78.7,65.8,7.6,33.0,55.5,61.1,"Hamilton, Canada",Canada,693645,6524966.532282254,4385,57,20,North America,Northern America,,238681.0,38246108.0
Bratislava,144.7,58.7,69.3,56.8,50.2,16.9,30.6,38.7,80.7,"Bratislava, Slovakia",Slovakia,475503,3759416.171760569,4400,294,6,Europe,Eastern Europe,,73715.0,5447247.0
Munich,180.0,99.5,81.0,76.8,73.6,16.0,32.8,25.0,76.0,"Munich, Germany",Germany,1488202,4139020.65932308,4450,465,16,Europe,Western Europe,,2320615.0,83196078.0
Denver,166.6,129.5,54.4,69.7,81.2,3.8,36.0,43.6,56.3,"Denver, CO, United States",United States,2876625,9247395.623216746,4586,112,14,North America,Northern America,,1367882.0,331893745.0
Wroclaw,134.7,57.3,73.8,59.2,41.8,12.1,34.6,62.0,78.4,"Wroclaw, Poland",Poland,638586,3079263.8301672265,4844,62,10,Europe,Eastern Europe,,497557.0,37747124.0
Houston,167.5,148.9,36.2,71.8,69.6,2.2,41.9,56.0,85.5,"Houston, TX, United States",United States,5464251,18661784.535661645,4888,289,69,North America,Northern America,,1367882.0,331893745.0
Saint Petersburg,103.5,46.0,60.2,59.9,41.6,19.3,48.3,62.4,60.6,"Saint Petersburg, Russia",Russia,5384342,9507053.798698604,5079,346,660,Europe,Eastern Europe,,845431.0,143449286.0
Los Angeles,135.9,113.6,47.5,62.8,79.4,7.4,60.9,66.7,95.5,"Los Angeles, CA, United States",United States,12750807,16199684.897044612,5160,94,124,North America,Northern America,,1367882.0,331893745.0
Mississauga,167.4,103.4,57.3,69.8,63.4,9.2,37.3,24.0,58.7,"Mississauga, Canada",Canada,721599,11203763.849605976,5308,175,57,North America,Northern America,,238681.0,38246108.0
Helsinki,191.2,101.0,74.9,79.2,69.6,9.5,27.9,13.3,62.8,"Helsinki, Finland",Finland,642045,3267381.998675838,5337,158,27,Europe,Northern Europe,,129326.0,5541017.0
Sao Paulo,76.2,25.3,29.3,58.9,42.4,23.2,49.9,79.1,99.0,"Sao Paulo, Brazil",Brazil,22495000,9048566.23160777,5361,725,67,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Washington,164.6,124.5,39.9,69.9,83.1,5.0,40.5,40.2,81.6,"Washington, DC, United States",United States,5379184,6952336.290800153,5382,90,784,North America,Northern America,,1367882.0,331893745.0
Auckland,169.0,93.4,51.6,71.9,74.9,11.0,36.9,28.8,99.9,"Auckland, New Zealand",New Zealand,1346091,9915832.865668343,5768,566,52,Oceania,Australia and New Zealand,,54527.0,5122600.0
Chicago,151.1,127.5,34.2,64.8,80.7,3.4,41.6,49.0,66.1,"Chicago, IL, United States",United States,8604203,16297355.780958492,6347,36,50,North America,Northern America,,1367882.0,331893745.0
Prague,159.5,69.8,75.4,74.7,56.4,19.0,32.0,33.4,80.7,"Prague, Czech Republic",Czech Republic,1335084,5592272.774450385,6545,97,107,Europe,Eastern Europe,,164137.0,10505772.0
Raleigh,173.8,104.6,61.2,67.7,80.3,6.4,36.3,31.6,83.9,"Raleigh, NC, United States",United States,1038738,14938609.122972025,7048,33,104,North America,Northern America,,1367882.0,331893745.0
Minsk,115.9,36.8,42.9,48.3,37.4,14.0,30.7,41.9,64.4,"Minsk, Belarus",Belarus,2009786,7781282.580150735,7630,366,40,Europe,Eastern Europe,,124403.0,9340314.0
Sydney,169.2,94.9,65.9,75.5,83.5,14.2,44.4,29.2,97.1,"Sydney, Australia",Australia,4840600,14270113.766691845,7855,766,145,Oceania,Australia and New Zealand,,199884.0,25688079.0
Poznan,137.6,59.1,72.1,57.4,39.1,13.1,31.2,57.5,77.4,"Poznan, Poland",Poland,533830,3482088.4191482216,9172,191,39,Europe,Eastern Europe,,497557.0,37747124.0
Ottawa,171.3,98.5,71.2,71.7,68.8,8.4,32.4,23.6,44.5,"Ottawa, Canada",Canada,989567,16304181.456303976,9437,69,104,North America,Northern America,,238681.0,38246108.0
Hamburg,176.5,106.2,57.9,75.6,69.8,10.5,32.7,28.4,82.8,"Hamburg, Germany",Germany,1852478,7718514.148939807,9766,587,25,Europe,Western Europe,,2320615.0,83196078.0
Indianapolis,172.5,128.4,41.4,73.6,74.4,2.0,29.5,42.2,69.9,"Indianapolis, IN, United States",United States,1588961,36322656.011852406,10754,33,207,North America,Northern America,,1367882.0,331893745.0
Cologne,160.4,88.2,58.2,73.6,65.7,10.5,36.2,39.9,84.8,"Cologne, Germany",Germany,1083498,6138775.23033386,11638,0,6,Europe,Western Europe,,2320615.0,83196078.0
Tucson,173.1,117.6,47.7,60.1,72.7,5.8,29.1,27.8,72.7,"Tucson, AZ, United States",United States,888486,21682836.86849668,11937,150,130,North America,Northern America,,1367882.0,331893745.0
Moscow,108.5,56.2,63.2,65.6,42.3,23.5,50.6,56.1,55.8,"Moscow, Russia",Russia,17693000,15005529.281856127,12018,2040,1947,Europe,Eastern Europe,,845431.0,143449286.0
London,129.3,82.5,46.2,70.1,75.6,15.7,44.6,57.9,88.3,"London, United Kingdom",United Kingdom,11120000,14732542.542114455,12960,584,47,Europe,Northern Europe,,640418.0,67326569.0
Warsaw,133.5,59.1,74.1,60.5,44.7,14.4,35.2,59.6,74.6,"Warsaw, Poland",Poland,1790658,8588158.199968847,15348,121,32,Europe,Eastern Europe,,497557.0,37747124.0
Krakow (Cracow),133.4,66.0,74.2,59.8,41.1,12.8,30.8,69.5,73.9,"Krakow (Cracow), Poland",Poland,766739,8588158.199968847,15348,121,32,Europe,Eastern Europe,,497557.0,37747124.0
Melbourne,169.8,94.0,56.0,73.5,79.2,9.8,41.5,27.2,94.3,"Melbourne, Australia",Australia,4529500,29462176.62745973,18912,601,52,Oceania,Australia and New Zealand,,199884.0,25688079.0
Berlin,158.1,91.9,56.6,68.1,69.7,11.7,34.2,39.2,83.3,"Berlin, Germany",Germany,3664088,11350931.37627813,19359,619,33,Europe,Western Europe,,2320615.0,83196078.0
Tokyo,163.1,86.2,75.8,79.5,70.0,13.1,41.6,42.8,85.3,"Tokyo, Japan",Japan,39105000,12834368.795195095,23986,2377,23,Asia,Eastern Asia,,321046.0,125681593.0
