City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Origin,Country,Population,Total_Parking_Area,Park_Ways,Park_Nodes,Park_Relations,Continent,Region 1,Region 2,Total_Contributors,Country_Population
Buenos Aires,100.7,31.1,37.0,68.9,32.3,27.5,49.8,52.4,98.3,"Buenos Aires, Argentina",Argentina,16216000,1130605.8021568833,496,462,12,South America,South America,Latin America and the Caribbean,123203.0,45808747.0
Timisoara,151.9,54.1,75.7,72.3,37.1,10.8,23.8,56.2,82.0,"Timisoara, Romania",Romania,319279,1059175.6020030864,500,24,1,Europe,Eastern Europe,,82547.0,19119880.0
Jakarta,73.2,30.9,47.5,56.6,35.5,20.9,51.4,84.9,63.8,"Jakarta, Indonesia",Indonesia,35362000,1845626.0186597337,504,128,1,Asia,South-eastern Asia,,288726.0,273753191.0
Thessaloniki,115.8,38.5,46.7,55.0,57.3,11.6,28.9,63.9,88.4,"Thessaloniki, Greece",Greece,315196,1299539.5263320685,527,217,6,Europe,Southern Europe,,93326.0,10641221.0
Athens,115.4,40.0,44.2,56.9,60.2,13.9,38.1,57.3,95.2,"Athens, Greece",Greece,664046,1299539.5263320685,527,217,6,Europe,Southern Europe,,93326.0,10641221.0
Paris,122.8,76.9,42.9,78.8,76.1,19.5,41.5,63.9,88.4,"Paris, France",France,11027000,487606.274447532,528,228,16,Europe,Western Europe,,981992.0,67749632.0
Skopje,100.7,36.8,53.5,54.8,36.6,15.0,28.1,83.1,76.3,"Skopje, North Macedonia",North Macedonia,640000,828806.9711229459,528,33,1,Europe,Southern Europe,,9784.0,2065092.0
Tel Aviv-Yafo,151.5,80.3,73.0,74.4,79.2,20.5,36.7,47.2,93.9,"Tel Aviv-Yafo, Israel",Israel,451523,1422237.1641049597,529,55,0,Asia,Western Asia,,39191.0,9364000.0
Amman,115.4,33.7,61.4,65.0,48.5,8.2,42.0,75.6,89.0,"Amman, Jordan",Jordan,4007526,1563853.349495569,539,16,4,Asia,Western Asia,,10780.0,11148278.0
Porto Alegre,111.2,27.6,27.9,63.3,36.7,15.0,31.3,56.4,98.7,"Porto Alegre, Brazil",Brazil,1484941,1686871.174297694,541,73,29,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Limassol,140.6,50.8,60.2,51.4,60.3,8.7,19.8,56.5,95.7,"Limassol, Cyprus",Cyprus,235056,922332.6259862568,551,115,3,Asia,Western Asia,,14215.0,1244188.0
Almaty,81.6,33.0,36.9,47.7,34.3,13.5,39.3,78.1,58.3,"Almaty, Kazakhstan",Kazakhstan,1916822,1489853.383200231,554,55,17,Asia,Central Asia,,46497.0,19000988.0
Las Vegas,147.5,109.6,44.3,55.0,73.7,3.7,27.1,52.5,57.4,"Las Vegas, NV, United States",United States,2104198,2405620.356546562,573,62,3,North America,Northern America,,1367882.0,331893745.0
Cluj-Napoca,147.7,53.2,77.6,64.8,42.7,14.7,29.6,43.9,74.3,"Cluj-Napoca, Romania",Romania,324576,770922.6783273066,586,87,3,Europe,Eastern Europe,,82547.0,19119880.0
Nicosia,146.0,64.1,70.0,54.5,55.4,7.1,25.1,59.9,86.0,"Nicosia, Cyprus",Cyprus,330000,1226521.5040850048,612,88,12,Asia,Western Asia,,14215.0,1244188.0
Tbilisi,111.0,23.7,74.2,54.3,43.9,14.7,36.6,72.0,84.2,"Tbilisi, Georgia",Georgia,1118035,1194136.0464021878,624,189,10,Asia,Western Asia,,26551.0,3708610.0
Luxembourg,199.7,122.9,73.0,78.6,73.1,11.5,26.8,19.2,82.6,"Luxembourg, Luxembourg",Luxembourg,128512,750630.0101049006,615,76,2,Europe,Western Europe,,22266.0,640064.0
Astana (Nur-Sultan),122.2,44.5,66.2,67.3,32.8,7.6,32.3,53.5,21.3,"Astana (Nur-Sultan), Kazakhstan",Kazakhstan,1136008,1643854.3663108654,618,178,3,Asia,Central Asia,,46497.0,19000988.0
Buffalo,172.4,104.0,53.1,73.0,78.5,6.4,25.4,30.2,66.4,"Buffalo, NY, United States",United States,914341,2097977.94436368,625,23,5,North America,Northern America,,1367882.0,331893745.0
Muscat,177.1,85.0,80.1,59.4,49.1,4.3,20.5,35.5,67.2,"Muscat, Oman",Oman,1421409,2999696.40391566,632,48,1,Asia,Western Asia,,8085.0,4520471.0
Shenzhen,116.4,79.5,71.4,58.0,43.1,39.0,35.7,60.5,81.8,"Shenzhen, China",China,14678000,3147745.9606665964,633,216,6,Asia,Eastern Asia,,169586.0,1412360000.0
Quito,114.0,32.2,38.1,71.7,36.1,12.8,40.9,64.1,99.0,"Quito, Ecuador",Ecuador,2011388,1266599.401006859,649,267,0,South America,South America,Latin America and the Caribbean,60477.0,17797737.0
Recife,85.7,34.0,23.7,62.5,34.7,18.0,46.5,69.7,79.3,"Recife, Brazil",Brazil,1653461,1482117.7151428007,652,22,10,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Odessa (Odesa),104.0,30.7,46.2,50.4,27.8,15.2,36.6,62.4,79.0,"Odessa (Odesa), Ukraine",Ukraine,993120,1252881.8320395695,663,24,4,Europe,Eastern Europe,,275715.0,43792855.0
Honolulu,151.9,74.8,52.4,72.5,103.5,9.2,41.3,37.3,95.3,"Honolulu, HI, United States",United States,820987,1763527.172480726,673,36,7,North America,Northern America,,1367882.0,331893745.0
Dnipro,96.1,33.8,46.8,52.9,27.9,12.3,32.6,80.7,69.5,"Dnipro, Ukraine",Ukraine,980948,1226998.0793673317,680,48,24,Europe,Eastern Europe,,275715.0,43792855.0
Baku,110.8,32.4,69.3,46.9,31.1,14.3,37.4,74.9,91.4,"Baku, Azerbaijan",Azerbaijan,2181800,1626671.1870431488,680,26,1,Asia,Western Asia,,16899.0,10137750.0
Cambridge,179.3,98.5,70.5,74.9,68.2,10.3,34.3,32.2,91.4,"Cambridge, United Kingdom",United Kingdom,129920,820174.9303052773,690,183,4,Europe,Northern Europe,,640418.0,67326569.0
Glasgow,176.7,103.7,54.5,81.9,63.7,6.7,32.1,35.8,84.8,"Glasgow, United Kingdom",United Kingdom,626410,820174.9303052773,690,183,4,Europe,Northern Europe,,640418.0,67326569.0
Belfast,168.1,84.3,54.4,70.3,62.4,7.1,39.1,27.4,90.8,"Belfast, United Kingdom",United Kingdom,333871,820174.9303052773,690,183,4,Europe,Northern Europe,,640418.0,67326569.0
Chiang Mai,126.9,30.5,76.0,84.1,36.1,14.5,25.1,77.4,75.9,"Chiang Mai, Thailand",Thailand,132634,1580565.1594207769,699,320,8,Asia,South-eastern Asia,,87665.0,71601103.0
Caracas,62.9,10.1,16.5,38.4,43.3,27.7,33.3,74.0,99.9,"Caracas, Venezuela",Venezuela,1943901,1692267.6422930567,709,87,49,South America,South America,Latin America and the Caribbean,22187.0,28199867.0
Brasilia,135.6,39.7,39.9,51.4,39.1,13.5,30.1,32.0,99.0,"Plano Piloto, Regiao Geografica Imediata do Distrito Federal, Regiao Integrada de Desenvolvimento do Distrito Federal e Entorno, Regiao Geografica Intermediaria do Distrito Federal, Federal District, Central-West Region, Brazil",Brazil,3015268,2918423.88154496,768,83,3,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Curitiba,139.0,36.6,37.9,66.8,35.7,13.5,32.4,32.0,99.6,"Curitiba, Brazil",Brazil,1879355,1808394.2580838616,779,60,10,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Turin,131.4,66.5,47.6,66.4,60.9,8.2,28.1,68.7,85.7,"Turin, Italy",Italy,870952,1620983.0829260251,804,108,8,Europe,Southern Europe,,605081.0,59109668.0
Kuala Lumpur,121.0,78.5,37.4,68.1,37.7,6.9,41.5,65.7,56.6,"Kuala Lumpur, Malaysia",Malaysia,8639000,2555465.1507477704,838,113,6,Asia,South-eastern Asia,,65575.0,33573874.0
Monterrey,126.3,52.3,52.1,68.8,44.7,7.7,31.7,70.5,80.4,"Monterrey, Mexico",Mexico,1135512,2555465.1507477704,838,113,6,North America,Central America,Latin America and the Caribbean,177507.0,126705138.0
Lyon,149.8,88.2,46.3,78.3,74.4,9.4,35.9,52.0,88.5,"Lyon, France",France,518635,795379.3021945066,843,64,7,Europe,Western Europe,,981992.0,67749632.0
Orlando,175.0,125.3,48.9,63.5,72.0,4.5,36.6,36.1,87.2,"Orlando, FL, United States",United States,1822394,4448234.646513209,856,14,25,North America,Northern America,,1367882.0,331893745.0
San Jose,112.4,35.4,44.4,63.1,54.8,10.5,64.0,51.5,99.5,"San Jose, Costa Rica",Costa Rica,1798103,1626614.9389664829,909,92,27,North America,Central America,Latin America and the Caribbean,17316.0,5153957.0
Sharjah,126.3,40.8,84.6,59.7,46.1,6.5,54.7,48.3,43.3,"Sharjah, United Arab Emirates",United Arab Emirates,1247749,2496376.9255299466,914,21,4,Asia,Western Asia,,22213.0,9365145.0
Salt Lake City,164.3,126.8,66.5,70.4,65.6,3.6,35.1,63.5,66.5,"Salt Lake City, UT, United States",United States,1098526,4351080.432000696,944,77,17,North America,Northern America,,1367882.0,331893745.0
San Francisco,142.5,107.0,38.6,64.0,100.0,8.6,50.9,50.3,97.3,"San Francisco, CA, United States",United States,3592294,2025275.1469237893,953,83,6,North America,Northern America,,1367882.0,331893745.0
Regina,168.0,142.7,47.3,65.8,59.9,2.6,17.0,40.0,14.3,"Regina, Canada",Canada,215106,2789399.022789904,974,4,5,North America,Northern America,,238681.0,38246108.0
Eindhoven,206.3,116.3,77.4,78.1,68.0,5.6,24.4,21.2,85.4,"Eindhoven, Netherlands",Netherlands,231642,1637181.934899229,993,82,6,Europe,Western Europe,,260977.0,17533044.0
Lisbon,146.6,42.2,70.4,72.4,52.1,20.5,35.4,35.9,98.6,"Lisbon, Portugal",Portugal,506654,1490975.4228655112,996,188,33,Europe,Southern Europe,,104264.0,10325147.0
Kharkiv,108.7,36.3,51.1,48.1,25.2,12.7,38.2,57.2,65.4,"Kharkiv, Ukraine",Ukraine,1446107,2174309.160352557,1014,95,22,Europe,Eastern Europe,,275715.0,43792855.0
Kiev (Kyiv),104.9,36.5,54.9,57.6,31.8,15.6,43.1,64.9,70.0,"Kiev (Kyiv), Ukraine",Ukraine,2963199,2174309.160352557,1014,95,22,Europe,Eastern Europe,,275715.0,43792855.0
Bangkok,80.1,28.4,59.7,77.1,48.2,32.5,45.5,77.1,58.4,"Bangkok, Thailand",Thailand,17573000,2290634.287436297,1033,188,1,Asia,South-eastern Asia,,87665.0,71601103.0
Cork,168.4,84.0,64.3,55.9,69.1,5.9,35.4,28.7,89.8,"Cork, Ireland",Ireland,208669,1578694.9481799386,1047,74,0,Europe,Northern Europe,,68106.0,5033165.0
Tehran,60.1,18.0,44.1,52.7,32.3,30.5,52.5,80.7,71.0,"Tehran, Iran",Iran,13819000,7286054.251396658,1059,116,3,Asia,Southern Asia,,118140.0,87923432.0
Chisinau,115.6,32.8,56.4,51.0,35.5,11.5,28.2,63.8,76.9,"Chisinau, Moldova",Moldova,639000,596186.1738577257,1066,430,36,Europe,Eastern Europe,,22032.0,2615199.0
Bologna,138.0,59.8,52.8,77.4,66.6,11.0,32.1,58.5,88.1,"Bologna, Italy",Italy,389261,1532955.2421254502,1067,122,13,Europe,Southern Europe,,605081.0,59109668.0
The Hague (Den Haag),215.4,125.2,78.7,79.9,62.5,5.7,22.9,19.2,90.6,"The Hague (Den Haag), Netherlands",Netherlands,537833,1231132.8304915114,1078,151,7,Europe,Western Europe,,260977.0,17533044.0
Rio de Janeiro,67.7,21.3,22.4,45.3,40.8,24.6,51.3,67.9,88.2,"Rio de Janeiro, Brazil",Brazil,12486000,3880470.620241,1077,280,46,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Pittsburgh,170.6,121.3,62.2,74.1,76.2,5.2,38.1,46.3,72.1,"Pittsburgh, PA, United States",United States,1703266,2506253.1736607933,1101,21,10,North America,Northern America,,1367882.0,331893745.0
Oakland,154.3,93.3,32.6,78.7,94.8,8.5,37.7,39.2,96.4,"Oakland, CA, United States",United States,433031,3342288.759178283,1104,46,8,North America,Northern America,,1367882.0,331893745.0
Antwerp,152.9,84.1,59.8,81.0,68.8,6.8,37.9,58.4,85.4,"Antwerp, Belgium",Belgium,529247,1929776.420626185,1125,78,9,Europe,Western Europe,,204465.0,11592952.0
Izmir,134.0,31.2,68.2,73.0,32.2,11.2,40.1,59.4,96.9,"Izmir, Turkey",Turkey,329052,2535143.639914968,1136,67,4,Asia,Western Asia,,89063.0,84775404.0
Rotterdam,198.1,110.1,68.6,79.5,65.9,5.6,24.6,25.1,87.9,"Rotterdam, Netherlands",Netherlands,631155,1995716.4624815844,1145,70,8,Europe,Western Europe,,260977.0,17533044.0
Spokane,171.4,100.7,43.8,64.7,72.0,4.1,23.7,23.7,67.1,"Spokane, WA, United States",United States,412275,2829809.61053309,1153,18,24,North America,Northern America,,1367882.0,331893745.0
Shanghai,85.2,56.4,69.4,64.1,46.9,49.1,46.4,72.9,83.6,"Shanghai, China",China,22118000,7040354.177873656,1159,135,6,Asia,Eastern Asia,,169586.0,1412360000.0
Riyadh,150.0,98.2,73.5,64.7,53.5,3.2,31.6,63.7,44.4,"Riyadh, Saudi Arabia",Saudi Arabia,6889000,14478027.376475682,1185,351,4,Asia,Western Asia,,26907.0,35950396.0
Jeddah (Jiddah),148.4,87.8,71.9,59.6,52.5,3.2,30.6,67.3,66.2,"Jeddah (Jiddah), Saudi Arabia",Saudi Arabia,3976000,14478027.376475682,1185,351,4,Asia,Western Asia,,26907.0,35950396.0
Kaunas,162.2,58.3,61.9,74.5,49.1,10.5,23.6,26.5,68.9,"Kaunas, Lithuania",Lithuania,288466,1880295.1411286765,1230,52,21,Europe,Northern Europe,,40412.0,2800839.0
Novi Sad,127.7,39.3,58.6,50.1,38.1,17.2,18.2,52.8,84.0,"Novi Sad, Serbia",Serbia,380000,1594165.3756485484,1238,11,4,Europe,Southern Europe,,39934.0,6834326.0
Atlanta,164.3,124.4,36.2,69.6,74.3,3.2,41.7,44.8,89.7,"Atlanta, GA, United States",United States,5449398,3810202.0499794846,1248,22,33,North America,Northern America,,1367882.0,331893745.0
Nizhny Novgorod,142.6,39.4,71.3,75.7,35.7,15.5,27.6,32.1,45.5,"Nizhny Novgorod, Russia",Russia,1257260,2577327.0931378584,1265,69,402,Europe,Eastern Europe,,845431.0,143449286.0
Boston,167.7,107.5,60.7,74.5,85.9,7.8,45.0,30.8,71.7,"Boston, MA, United States",United States,4688346,3113219.0051575145,1266,65,10,North America,Northern America,,1367882.0,331893745.0
Porto,159.1,48.8,65.0,75.9,48.6,12.8,29.5,34.5,96.6,"Porto, Portugal",Portugal,237591,721765.0265210695,1274,231,3,Europe,Southern Europe,,104264.0,10325147.0
Bristol,164.5,94.2,58.0,74.4,64.7,9.8,30.2,45.0,88.5,"Bristol, United Kingdom",United Kingdom,567111,1639213.4081694505,1290,24,10,Europe,Northern Europe,,640418.0,67326569.0
Abu Dhabi,176.0,111.7,88.3,71.3,56.9,5.1,28.9,46.1,43.9,"Abu Dhabi, United Arab Emirates",United Arab Emirates,1483000,4974515.870918187,1295,73,16,Asia,Western Asia,,22213.0,9365145.0
San Juan,114.7,45.3,30.9,63.0,73.2,7.8,37.5,50.8,71.2,"San Juan, Puerto Rico",Puerto Rico,471389,3070725.632564849,1296,8,7,North America,Caribbean,Latin America and the Caribbean,18983.0,3263584.0
Vancouver,169.6,87.3,60.0,73.7,69.8,13.1,36.4,25.4,91.2,"Vancouver, Canada",Canada,2264823,1775586.750598676,1304,44,14,North America,Northern America,,238681.0,38246108.0
Quebec City,168.1,96.9,83.7,70.2,67.9,9.9,32.9,35.3,48.0,"Quebec City, Canada",Canada,705103,1775586.750598676,1304,44,14,North America,Northern America,,238681.0,38246108.0
Zurich,189.1,116.7,80.9,72.8,122.7,12.4,33.9,19.0,81.5,"Zurich, Switzerland",Switzerland,434008,486355.8086018713,1334,235,4,Europe,Western Europe,,217772.0,8703405.0
Lviv,130.4,39.3,61.2,61.0,26.8,12.0,32.1,49.1,69.6,"Lviv, Ukraine",Ukraine,724314,1241145.3796806436,1354,84,21,Europe,Eastern Europe,,275715.0,43792855.0
Tampa,174.7,116.7,54.1,66.4,75.3,4.6,37.6,34.3,84.7,"Tampa, FL, United States",United States,2908063,6129000.520833057,1379,35,11,North America,Northern America,,1367882.0,331893745.0
Sacramento,169.3,113.8,50.6,68.4,85.0,6.1,27.0,46.5,90.6,"Sacramento, CA, United States",United States,1898019,5018496.892768641,1395,11,5,North America,Northern America,,1367882.0,331893745.0
Edmonton,163.5,100.0,53.9,77.7,69.1,3.4,29.1,30.5,32.1,"Edmonton, Canada",Canada,1062643,5056839.73011029,1429,46,15,North America,Northern America,,238681.0,38246108.0
Manchester,150.6,91.0,45.1,79.1,63.7,7.3,39.9,53.1,86.9,"Manchester, United Kingdom",United Kingdom,547627,3098363.8073033406,1445,45,18,Europe,Northern Europe,,640418.0,67326569.0
Belgrade,106.8,34.6,61.8,53.2,43.0,20.5,36.2,66.7,84.1,"Belgrade, Serbia",Serbia,1378682,2019734.8766881688,1448,111,3,Europe,Southern Europe,,39934.0,6834326.0
Cincinnati,172.6,113.8,51.9,68.8,63.0,2.6,24.7,44.1,73.2,"Cincinnati, OH, United States",United States,1662691,4514679.060195895,1457,24,28,North America,Northern America,,1367882.0,331893745.0
San Antonio,174.4,133.7,50.9,67.4,67.7,4.4,32.4,46.5,80.6,"San Antonio, TX, United States",United States,2049293,8801743.476476278,1480,14,23,North America,Northern America,,1367882.0,331893745.0
Baltimore,165.9,134.7,24.4,75.6,74.3,1.0,31.2,50.4,81.2,"Baltimore, MD, United States",United States,2106068,5382628.954284134,1506,24,26,North America,Northern America,,1367882.0,331893745.0
Ankara,132.4,39.8,61.0,69.1,32.6,7.3,36.2,65.3,91.5,"Ankara, Turkey",Turkey,5663322,3924992.2694044113,1532,168,16,Asia,Western Asia,,89063.0,84775404.0
Charlotte,173.5,108.0,53.4,69.5,80.4,3.5,36.8,33.3,84.0,"Charlotte, NC, United States",United States,1512923,7127490.839227207,1537,23,69,North America,Northern America,,1367882.0,331893745.0
Sofia,123.5,56.4,58.1,57.5,45.6,10.7,30.5,68.9,76.0,"Sofia, Bulgaria",Bulgaria,1277411,2400280.035178401,1554,204,3,Europe,Eastern Europe,,44150.0,6877743.0
Nashville,168.1,107.2,53.6,64.9,80.2,3.9,39.0,35.7,83.0,"Nashville, TN, United States",United States,1081903,5318077.095302697,1567,27,15,North America,Northern America,,1367882.0,331893745.0
Birmingham,153.3,102.6,37.2,72.3,58.7,9.4,33.2,48.8,87.7,"Birmingham, United Kingdom",United Kingdom,1137100,2768227.027423685,1582,103,12,Europe,Northern Europe,,640418.0,67326569.0
Frankfurt,177.3,110.9,55.4,76.8,69.2,11.2,25.7,34.1,84.7,"Frankfurt, Germany",Germany,764104,2783117.506970169,1618,278,13,Europe,Western Europe,,2320615.0,83196078.0
Bucharest,118.9,54.9,71.8,54.5,44.1,10.5,41.1,75.7,75.6,"Bucharest, Romania",Romania,1883425,3082755.943950768,1641,1095,4,Europe,Eastern Europe,,82547.0,19119880.0
San Jose,172.8,138.9,51.7,70.4,86.0,8.2,38.5,49.0,95.5,"San Jose, CA, United States",United States,1798103,8654280.792240677,1748,19,27,North America,Northern America,,1367882.0,331893745.0
Amsterdam,188.5,105.5,68.8,74.1,65.7,9.6,25.4,27.1,87.5,"Amsterdam, Netherlands",Netherlands,862965,2421074.3686448126,1764,152,6,Europe,Western Europe,,260977.0,17533044.0
Wellington,170.9,71.1,67.6,66.9,75.6,13.2,34.5,19.0,97.7,"Wellington, New Zealand",New Zealand,418500,2280443.4041936034,1790,306,58,Oceania,Australia and New Zealand,,54527.0,5122600.0
Mexico City,86.6,36.0,32.0,65.6,43.6,16.0,52.2,81.6,92.4,"Mexico City, Mexico",Mexico,21505000,6124466.438095152,1794,292,8,North America,Central America,Latin America and the Caribbean,177507.0,126705138.0
Saint Louis,162.9,102.6,29.5,80.9,67.3,4.1,27.2,38.5,74.8,"Saint Louis, MO, United States",United States,293310,4933244.760963956,1850,11,45,North America,Northern America,,1367882.0,331893745.0
Bogota,91.0,28.8,34.0,65.0,25.5,20.4,52.3,70.1,97.1,"Bogota, Colombia",Colombia,7743955,5136323.236293448,1858,356,6,South America,South America,Latin America and the Caribbean,91825.0,51516562.0
Ljubljana,164.5,58.3,78.3,66.2,54.6,14.9,27.3,23.8,76.1,"Ljubljana, Slovenia",Slovenia,286745,2022010.1326554008,1868,118,81,Europe,Southern Europe,,39855.0,2108079.0
Cape Town,145.0,73.2,26.4,68.3,34.4,6.8,42.7,39.0,98.2,"Cape Town, South Africa",South Africa,433688,2022010.1326554008,1868,118,81,Africa,Southern Africa,Sub-Saharan Africa,62678.0,59392255.0
Durban,139.3,74.3,19.0,58.4,34.0,3.4,26.1,53.0,95.6,"Durban, South Africa",South Africa,595061,2022010.1326554008,1868,118,81,Africa,Southern Africa,Sub-Saharan Africa,62678.0,59392255.0
Pretoria,138.6,91.6,18.1,66.1,34.9,1.9,45.5,56.0,95.8,"Pretoria, South Africa",South Africa,741651,2022010.1326554008,1868,118,81,Africa,Southern Africa,Sub-Saharan Africa,62678.0,59392255.0
Johannesburg,132.6,89.4,19.2,60.3,38.1,2.6,40.7,60.9,91.4,"Johannesburg, South Africa",South Africa,4434827,2022010.1326554008,1868,118,81,Africa,Southern Africa,Sub-Saharan Africa,62678.0,59392255.0
Milan,115.4,53.0,51.0,71.7,72.6,19.1,36.0,67.5,88.1,"Milan, Italy",Italy,1366180,2821937.0689485944,1942,202,17,Europe,Southern Europe,,605081.0,59109668.0
Dubai,168.5,111.1,83.7,68.4,65.5,4.0,37.0,49.2,50.3,"Dubai, United Arab Emirates",United Arab Emirates,2502715,13336286.158273255,1995,404,13,Asia,Western Asia,,22213.0,9365145.0
Trondheim,182.5,93.2,79.1,75.9,87.8,10.5,29.1,19.6,66.7,"Trondheim, Norway",Norway,183378,1919052.4904565604,2006,90,24,Europe,Northern Europe,,103908.0,5408320.0
Dublin,137.4,74.5,47.7,51.3,77.0,10.1,40.4,41.0,85.9,"Dublin, Ireland",Ireland,553165,1730603.3180819105,2025,116,9,Europe,Northern Europe,,68106.0,5033165.0
Toronto,146.3,83.6,57.5,75.3,71.3,13.4,44.7,37.3,65.3,"Toronto, Canada",Canada,5429524,2317176.467901184,2086,461,4,North America,Northern America,,238681.0,38246108.0
Anchorage,166.9,111.3,38.1,61.2,86.1,2.5,26.8,15.7,41.6,"Anchorage, AK, United States",United States,288000,6374922.350958807,2106,43,18,North America,Northern America,,1367882.0,331893745.0
Oklahoma City,172.2,95.1,49.3,69.6,72.7,4.1,29.9,26.9,77.6,"Oklahoma City, OK, United States",United States,972943,8799102.621931715,2111,15,37,North America,Northern America,,1367882.0,331893745.0
Vilnius,162.1,57.4,72.1,74.0,51.8,13.4,27.5,24.5,66.6,"Vilnius, Lithuania",Lithuania,574147,3167210.1968691368,2129,86,30,Europe,Northern Europe,,40412.0,2800839.0
Singapore,150.5,89.9,67.2,71.0,85.8,15.2,41.6,33.1,57.5,"Singapore, Singapore",Singapore,5271000,6803196.395953316,2195,545,94,Asia,South-eastern Asia,,26124.0,5453566.0
Madison,170.1,91.3,65.4,75.4,72.6,8.1,28.9,25.1,51.6,"Madison, WI, United States",United States,447245,5550347.224945918,2198,40,32,North America,Northern America,,1367882.0,331893745.0
Stuttgart,179.2,126.1,67.7,73.0,63.5,9.6,32.7,43.5,81.1,"Stuttgart, Germany",Germany,630305,2261782.383918101,2208,261,18,Europe,Western Europe,,2320615.0,83196078.0
